id,content,score
3b2614fb-8cba-4eec-8a53-0847ed8c2144,I am facing issues with visibility of comments.plesse fix this bug as soon as possible.,1
72acfb64-297a-4826-ae70-2839f4cc801e,But my video no like my view,3
e632a063-a437-46b7-a95f-847e7c1af2c2,Great reviews = Great app !Thanks team tiktok! Let me enjoy my doom scroll now.,4
862a124f-6d64-4b79-ab68-1adf694741a4,Plz my account unfreeze,5
576868f3-5033-42ac-8b8c-6e5a1eaa6840,with the newest update it changed TikTok shop. before you used to be able to see a video click the product link and then you could see reviews and save the product for later. now it brings you to a page where the only option is to buy it you can't look at the manufacturer you can't look at reviews you can't look at the ratings and you can't save it for later.,1
60572de2-c4d1-49f5-a52e-0845cde23547,"seems to have hidden bugs the app sometimes crashes on its own, makes my phone start to lag and overheat so please fix it",1
0e383a83-8d56-43bb-a94e-297938ef64ad,Oooooooooooo the best way this app work's is the only reason I was just wondering if I could get my own app made but it's a game called the Adventist academy,5
b8d4cc1c-e300-49cf-9174-59c8cbb16644,hello tiktok plase unband my phone from tiktok,5
7ab02ff7-85a0-4f26-bd72-9a64da4f8f38,Please bar bar update naa kere,5
d8c0e963-bd66-47bc-a4aa-d2bc297405fc,the best app ever kuh,5
4172d907-d2fe-486a-82eb-fc624d9513f8,"it's best,but increase the quantity of offline videos",5
5bcbc593-9a62-4956-9a8d-cc0b296eb8da,this softer is very good,5
ea74d7e3-e193-4cb4-ab96-83f2694b8c77,It deserves 5 stars because it's truly excellent.,5
6d981850-e21b-4cdc-bbea-e9ee927dc9ce,it the best app everr,5
2412d6f3-0bd2-4260-ad22-349549d216a2,this app is very good. it is the papuler scoial medeia apss.,1
aa4cc115-00dc-423c-901d-19548947b07e,it was fun at first than I got kicked out made a new account and was kicked out and none of the codes they send me works.,3
63a19e27-3254-497e-a420-be649537b265,sorry for reporting but I think I know how the scam calls started because when tiktok became first then the scam calls did also love this app by the way,5
d823a2c3-cd1c-4319-89f2-9c8f822b0629,it makes me laugh so hard I farted,5
459199e4-e134-4aa2-8723-38c2332798a1,support me my bowling video ID Sarkar 46,5
b79c329e-248b-44f7-8014-dddf3109e916,tried to show someone a cool video and my whole page reset,1
b4cf0b54-8908-40c7-8665-f6b2169c6b40,5 stars a lot of gay people but that is it,5
51695189-ee6c-4a4a-b5a4-7ba67bf18fd1,it's really fun but I wish it would tell you who blocked you!,4
d57aa870-12ff-4bec-b35f-2667d7365fb1,my newer posts keep flopping again over and over its stressing me out I'm a digital artist I just want to show off my art skills what can I do to get more views and likes?,3
d4f5e434-52d5-4a1f-acb4-1ea18b797599,so butt idk why its so hard to make a scrolling app like it never works genuinely sucks age restriction all the time even though I show id and face stupid app,1
0e78f38a-75fa-4b56-8b1d-b6965a694bb1,It's the best video experience,5
4f93667f-219e-4f14-aa6a-d02f3fbb43d0,"doesn't even work anymore, goes slow, glitches out and doesn't load anything",1
